Rank,Agent,Family,Param (c),Total Matches,Win Rate (%),Total Top 30% (%),Norm Mu (0-100),Norm Sigma,Score (Conservative 0-100),Top 30% (N=8),Top 30% (N=10),Top 30% (N=12),Top 30% (N=16),Top 30% (N=20),Top 30% (N=24),Top 30% (N=28),Top 30% (N=32)
21,SW_AS_UCB_w50_p7_s10.0_c0.01,SW_AS_UCB,0.01,32857,3.3326231853181967,32.17883556015461,72.50184592643035,2.075940172751677,66.27402540817533,20.556501987507097,21.06946983546618,14.916286149162861,15.409356725146198,30.997925789352387,38.72699386503067,41.76221140254437,40.45834534447968
22,SW_AS_UCB_w50_p7_s5.0_c0.01,SW_AS_UCB,0.01,32976,3.990781174187288,34.76770984958758,72.45670297654662,2.0840784025480645,66.20446776890243,21.995589856670342,22.14765100671141,16.795965865011635,18.75180583646345,34.28506684794924,41.83634992458522,44.78882286815481,42.74193548387097
23,SW_AS_UCB_w100_p7_s10.0_c0.01,SW_AS_UCB,0.01,32839,3.5141143152958376,35.78367185358872,71.98921072098624,2.0809256048241664,65.74643390651373,20.0836820083682,21.27358490566038,14.679245283018869,15.18037518037518,29.712460063897762,43.18181818181818,48.130544993662866,49.28848641655886
24,SW_UCB_w100_c0.05,SW_UCB,0.05,33050,8.236006051437217,35.04084720121029,70.43468746941687,2.078424549070309,64.19941382220594,44.083006169377455,53.39260645765091,49.31350114416476,50.79140757490107,49.422685080371295,34.931766489764975,23.59980852082336,15.106990014265333
25,SW_AS_UCB_w100_p7_s10.0_c0.05,SW_AS_UCB,0.05,32745,3.2798900595510765,26.44373186746068,69.46319490987139,2.081710155990451,63.21806444190005,32.01650943396226,37.95518207282913,34.1248563768671,31.501301706682096,36.60446901635568,26.48324911098634,19.881258023106547,15.600173335259282
26,AS_UCB_p7_s5.0_c0.1,AS_UCB,0.1,32965,1.0495980585469438,21.905050811466705,68.59283540666243,2.0812247014197287,62.349161302403246,15.81267217630854,16.172248803827753,9.679937548790008,8.326029798422436,17.772186642268984,22.840326561610024,28.185086759418475,32.390964625657055
27,AS_UCB_p7_s10.0_c0.1,AS_UCB,0.1,32915,1.1605650919033876,22.445693452833055,68.59670879678393,2.087304547033828,62.33479515568244,20.125427594070697,18.50815850815851,11.564121571534471,10.197086546700943,19.375573921028465,23.926025813908687,27.597195666029318,30.754932799542466
28,SW_AS_UCB_w100_p7_s5.0_c0.05,SW_AS_UCB,0.05,32981,2.8561899275340346,25.454049301112764,68.5283077549086,2.0857861545233,62.270949291338695,31.503716409376786,36.964448495897905,28.39080459770115,25.807373535295795,31.032896250287557,26.227971503562053,21.49368303214457,18.54181558255897
29,SW_AS_UCB_w50_p7_s5.0_c0.05,SW_AS_UCB,0.05,32861,2.224521469218831,19.396853412860228,68.34422015310626,2.0818788821018086,62.09858350680083,31.55893536121673,35.18261673601479,23.552123552123554,19.645966337782937,23.61589708247186,18.441460185360317,14.605835885861678,11.980510174835196
30,AS_UCB_p7_s20.0_c0.1,AS_UCB,0.1,33158,1.550153809035527,24.07865371855962,67.88368215630867,2.077140588245591,61.6522603915719,23.91304347826087,26.1317794710892,15.668549905838042,11.04400345125108,20.17663043478261,22.737686139747996,27.80912461712075,33.1047032474804
31,SW_UCB_w100_c0.1,SW_UCB,0.1,32690,3.481186907311104,18.91098195166718,66.33624830801348,2.0895497254005377,60.06759913181187,36.05714285714286,37.065269175798,31.98350206224222,23.78282679256418,24.02656894182318,16.606360693201296,11.026677445432497,7.317771731347558
32,Eps_e0.2,Eps,,32788,0.51543247529584,20.772843723313407,66.2276770090912,2.0885078088133837,59.96215358265105,12.795698924731184,21.234798877455567,13.685015290519878,17.083450407417814,26.287578652994643,23.59529233105543,21.19388418998048,21.40995946728431
33,SW_AS_UCB_w50_p7_s10.0_c0.05,SW_AS_UCB,0.05,33114,2.7631817358217066,20.030802681645227,64.99490786530903,2.085529956104038,58.738317996996926,32.78032036613273,40.605520926090826,30.09242144177449,23.340098579298346,25.911577028258886,17.97294793403743,12.161290322580646,9.568829680561524
34,SW_UCB_w200_c0.05,SW_UCB,0.05,33010,6.819145713420176,25.010602847621932,64.27627279981282,2.0889676499399137,58.00936984999308,42.75114155251142,56.244302643573384,48.888888888888886,45.97668467443844,36.18940248027058,19.680150517403575,8.333333333333332,3.008492874622139
35,DecayEps_e0.2,DecayEps,,33060,0.3660012099213551,15.217785843920145,64.05184168425451,2.0901752188472926,57.78131602771265,10.828729281767956,17.804992934526613,11.55015197568389,12.953367875647666,20.16844980651036,16.710280373831775,15.50759392486011,13.569699558593193
36,SW_AS_UCB_w100_p7_s5.0_c0.1,SW_AS_UCB,0.1,32984,0.6669900557846229,11.126606839679845,61.57181046320592,2.0865858580507046,55.31205288905381,14.527981910684002,15.351506456241031,8.052708638360176,5.58806319485079,11.113620962276936,10.91703056768559,12.144909032875837,12.161391502708868
37,SW_AS_UCB_w50_p7_s10.0_c0.1,SW_AS_UCB,0.1,33017,0.7511282066814066,7.2205227610019085,59.95203783123697,2.0909908788804175,53.67906519459573,17.670454545454543,17.420814479638008,9.236031927023944,4.630681818181818,6.179521876409563,5.482290881688018,5.363489499192245,5.528431935669156
38,SW_AS_UCB_w50_p7_s5.0_c0.1,SW_AS_UCB,0.1,32952,0.6069434328720563,7.711216314639476,58.08897481750183,2.0953290656772996,51.802987620469935,14.326978625072211,14.353163361661943,6.904400606980274,3.518892414190943,7.035059205943813,7.953063885267275,7.29915348985785,7.050828259946199
39,SW_AS_UCB_w100_p7_s10.0_c0.1,SW_AS_UCB,0.1,32894,0.9849820635982246,10.618957864656169,57.772656465059036,2.100071838144145,51.4724409506266,20.056657223796034,19.22544951590595,10.846953937592868,6.52673950546291,9.8435019278748,8.561708561708562,10.1994851994852,9.921443118999127
40,UCB_c0.05,UCB,0.05,32975,6.692949203942381,21.210007581501138,55.74558282802663,2.1145961275365996,49.401794445416826,43.523035230352306,53.690967446125626,50.2210759027266,44.76327116212339,30.238365493757097,10.850495804729213,2.6653664878920855,0.4605641911341394
41,Periodic_UCB_p7_c0.05,Periodic_UCB,0.05,32972,2.6113065631444865,9.744631808807473,52.16998030126471,2.114866915769979,45.825379553954775,37.05250596658711,37.71013175829169,26.126126126126124,13.108068744538304,8.512079476179725,3.1166347992351815,0.8617938078518992,0.3110419906687403
42,SW_UCB_w200_c0.1,SW_UCB,0.1,33124,2.6929114841202755,8.190435937688685,51.67436118927943,2.1079433592345693,45.35053111157572,33.55742296918767,34.8731884057971,22.929936305732486,10.88513319965626,6.0801473975126665,1.3480621606440741,0.22172949002217296,0.028677946659019213
43,Periodic_UCB_p7_c0.1,Periodic_UCB,0.1,32834,2.8141560577450204,9.82213559115551,49.44108302206603,2.1137725393601534,43.09976540398557,36.89596361569073,37.12686567164179,25.578658297371522,12.979094076655052,9.0,3.5084427767354596,1.226004194224875,0.31388215151947496
44,Periodic_UCB_p7_c0.01,Periodic_UCB,0.01,33062,2.719133748714536,9.94495190853548,48.67689640869604,2.1174607000965464,42.3245143084064,34.53947368421053,37.0018115942029,27.35703245749614,13.400286944045911,8.765859284890427,3.829383886255924,1.0958046336881653,0.20117833021985917
45,UCB_c0.1,UCB,0.1,32752,2.286883243771373,6.140083048363459,34.82943880700072,2.14343807413274,28.399124584602504,32.390300230946885,30.671676843588543,18.9897455374098,5.820853348403504,1.791044776119403,0.225140712945591,0.0,0.014697236919459141
46,TS,TS,,32739,1.4294877668835333,4.260973151287455,34.5825683443541,2.1483208722825253,28.137605727506532,25.692398350029467,24.748683580660604,12.016679302501895,2.8914972802748355,0.53166897827092,0.018942981625307824,0.0,0.0
47,FFT_UCB_w50_s0.5_c0.05,FFT_UCB,0.05,32751,0.3725077096882538,2.173979420475711,33.39232079950735,2.17214853352528,26.87587519893151,8.708189158016149,10.023640661938535,5.206738131699847,2.074810052600818,1.4215800512701002,0.8839571186759451,0.44778506316967853,0.08562865705722848
48,TS_Weekly,TS_Weekly,,33047,0.39943111326292857,1.4857627016068025,32.24234679911529,2.1624946746776517,25.754862775082334,11.693548387096774,8.832951945080092,2.9567854435178167,0.45727350671620465,0.022644927536231884,0.0,0.0,0.0
49,WSLS,WSLS,,32771,0.0,0.0,21.32246063060608,2.1946434678261846,14.738530227127525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,FFT_UCB_w100_s0.5_c0.05,FFT_UCB,0.05,32938,0.018216042261218045,0.24895257756998,21.12075988164396,2.168858923522723,14.614183111075793,1.4326647564469914,1.5850815850815851,0.4144687264506406,0.20097616996841805,0.06887052341597796,0.037509377344336084,0.0,0.0
51,FFT_UCB_w50_s1.0_c0.05,FFT_UCB,0.05,32898,0.2492552738768314,1.4225788801750867,17.542907056409415,2.217790172225453,10.889536539733054,6.953080836630865,6.694756554307116,3.2366071428571432,1.0044313146233381,0.8961397058823529,0.49789352738414405,0.22414345180915787,0.028169014084507043
52,Softmax_t0.1,Softmax,,33009,0.0,0.0,13.499805682729122,2.275104348866066,6.6744926361309185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Softmax_t0.2,Softmax,,33203,0.0,0.0,12.974398900173224,2.22474874980106,6.300152650770046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Softmax_t0.05,Softmax,,32643,0.0,0.0,12.738538135008772,2.2291375325747076,6.051125537284648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,FFT_UCB_w100_s1.0_c0.05,FFT_UCB,0.05,33030,0.006055101422948834,0.16651528913109295,10.712255747816736,2.27447933072901,3.8888177556297103,1.3789299503585217,0.7637017070979335,0.19470404984423675,0.08551881413911061,0.11317338162064282,0.0,0.0,0.0
56,FFT_UCB_w100_s2.0_c0.05,FFT_UCB,0.05,32915,0.0060762570256721864,0.10937262646209935,8.500936278328773,2.3014768819009905,1.5965056326258036,0.9465478841870825,0.4606172270842929,0.3415559772296015,0.0,0.0,0.0,0.0,0.0
57,FFT_UCB_w50_s2.0_c0.05,FFT_UCB,0.05,32861,0.24649280301877607,1.077264842822799,6.864376835027229,2.2881256116757434,0.0,5.577244841048522,6.015733456732994,2.713030187237295,0.7100591715976331,0.3965477023559599,0.22722969134633592,0.0,0.0
